Zip Code,Population,County,Country
90001,54492,Los Angeles,California
90002,44586,Los Angeles,California
90003,58198,Los Angeles,California
90004,67852,Los Angeles,California
90005,43019,Los Angeles,California
90006,62784,Los Angeles,California
90007,45025,Los Angeles,California
90008,30852,Los Angeles,California
90010,1957,Los Angeles,California
90011,101215,Los Angeles,California
90012,30596,Los Angeles,California
90013,9732,Los Angeles,California
90014,3524,Los Angeles,California
90015,15140,Los Angeles,California
90016,46984,Los Angeles,California
90017,20692,Los Angeles,California
90018,47143,Los Angeles,California
90019,67520,Los Angeles,California
90020,42394,Los Angeles,California
90021,3012,Los Angeles,California
90022,68701,Los Angeles,California
90023,47487,Los Angeles,California
90024,44150,Los Angeles,California
90025,41175,Los Angeles,California
90026,73686,Los Angeles,California
90027,48727,Los Angeles,California
90028,30568,Los Angeles,California
90029,41713,Los Angeles,California
90031,38415,Los Angeles,California
90032,46960,Los Angeles,California
90033,49431,Los Angeles,California
90034,58218,Los Angeles,California
90035,27799,Los Angeles,California
90036,32901,Los Angeles,California
90037,56709,Los Angeles,California
90038,32562,Los Angeles,California
90039,29310,Los Angeles,California
90040,9805,Los Angeles,California
90041,27866,Los Angeles,California
90042,64672,Los Angeles,California
90043,44764,Los Angeles,California
90044,87383,Los Angeles,California
90045,39334,Los Angeles,California
90046,49839,Los Angeles,California
90047,47107,Los Angeles,California
90048,21739,Los Angeles,California
90049,33523,Los Angeles,California
90056,8115,Los Angeles,California
90057,44004,Los Angeles,California
90058,3642,Los Angeles,California
90059,38128,Los Angeles,California
90061,24511,Los Angeles,California
90062,29299,Los Angeles,California
90063,55668,Los Angeles,California
90064,24505,Los Angeles,California
90065,47534,Los Angeles,California
90066,55204,Los Angeles,California
90067,2527,Los Angeles,California
90068,21728,Los Angeles,California
90069,20408,Los Angeles,California
90071,21,Los Angeles,California
90077,10470,Los Angeles,California
90201,105285,Los Angeles,California
90210,21397,Los Angeles,California
90211,8321,Los Angeles,California
90212,11355,Los Angeles,California
90220,47305,Los Angeles,California
90221,51387,Los Angeles,California
90222,29825,Los Angeles,California
90230,31963,Los Angeles,California
90232,15195,Los Angeles,California
90240,24908,Los Angeles,California
90241,40152,Los Angeles,California
90242,42459,Los Angeles,California
90245,16041,Los Angeles,California
90247,47758,Los Angeles,California
90248,9960,Los Angeles,California
90249,26442,Los Angeles,California
90250,93315,Los Angeles,California
90254,18693,Los Angeles,California
90255,78114,Los Angeles,California
90260,33300,Los Angeles,California
90262,69850,Los Angeles,California
90263,11,Los Angeles,California
90265,19630,Los Angeles,California
90266,33758,Los Angeles,California
90270,28094,Los Angeles,California
90272,22548,Los Angeles,California
90274,24979,Los Angeles,California
90275,41263,Los Angeles,California
90277,34191,Los Angeles,California
90278,37322,Los Angeles,California
90280,96267,Los Angeles,California
90290,5451,Los Angeles,California
90291,31021,Los Angeles,California
90292,18058,Los Angeles,California
90293,11264,Los Angeles,California
90301,37527,Los Angeles,California
90302,30779,Los Angeles,California
90303,27778,Los Angeles,California
90304,28680,Los Angeles,California
90305,13779,Los Angeles,California
90401,5221,Los Angeles,California
90402,11509,Los Angeles,California
90403,23559,Los Angeles,California
90404,19975,Los Angeles,California
90405,26099,Los Angeles,California
90501,40705,Los Angeles,California
90502,17058,Los Angeles,California
90503,41979,Los Angeles,California
90504,31678,Los Angeles,California
90505,34873,Los Angeles,California
90601,32050,Los Angeles,California
90602,26265,Los Angeles,California
90603,19109,Los Angeles,California
90604,37887,Los Angeles,California
90605,38181,Los Angeles,California
90606,32148,Los Angeles,California
90620,44442,Orange,California
90621,33528,Orange,California
90623,15505,Orange,California
90630,47344,Orange,California
90631,67354,Orange,California
90638,47568,Los Angeles,California
90640,62425,Los Angeles,California
90650,103214,Los Angeles,California
90660,63288,Los Angeles,California
90670,16271,Los Angeles,California
90680,29694,Orange,California
90701,16398,Los Angeles,California
90703,51556,Los Angeles,California
90704,3699,Los Angeles,California
90706,72893,Los Angeles,California
90710,24660,Los Angeles,California
90712,30173,Los Angeles,California
90713,27563,Los Angeles,California
90715,20890,Los Angeles,California
90716,14852,Los Angeles,California
90717,21065,Los Angeles,California
90720,21343,Orange,California
90723,55306,Los Angeles,California
90731,58639,Los Angeles,California
90732,21279,Los Angeles,California
90740,24180,Orange,California
90742,1107,Orange,California
90743,174,Orange,California
90744,53323,Los Angeles,California
90745,55486,Los Angeles,California
90746,25566,Los Angeles,California
90802,38427,Los Angeles,California
90803,31352,Los Angeles,California
90804,43467,Los Angeles,California
90805,91664,Los Angeles,California
90806,49647,Los Angeles,California
90807,31556,Los Angeles,California
90808,37417,Los Angeles,California
90810,35656,Los Angeles,California
90813,63136,Los Angeles,California
90814,19034,Los Angeles,California
90815,38902,Los Angeles,California
90822,425,Los Angeles,California
91001,36243,Los Angeles,California
91006,30028,Los Angeles,California
91007,30933,Los Angeles,California
91010,27414,Los Angeles,California
91011,20200,Los Angeles,California
91016,41067,Los Angeles,California
91020,7527,Los Angeles,California
91024,10558,Los Angeles,California
91030,23984,Los Angeles,California
91040,18752,Los Angeles,California
91042,26753,Los Angeles,California
91101,16812,Los Angeles,California
91103,27891,Los Angeles,California
91104,38460,Los Angeles,California
91105,10253,Los Angeles,California
91106,23742,Los Angeles,California
91107,32369,Los Angeles,California
91108,13158,Los Angeles,California
91201,23981,Los Angeles,California
91202,21990,Los Angeles,California
